"ip_type","work_title","aliases","landmark_name","country_code","country_name","province_name","city_name","district_name","normalized_address","latitude","longitude","description","transit_text","landmark_kind","source_url","source_publisher","source_title","source_type","accessed_at","license_note","claim_scope"
"literature","纯真博物馆","The Museum of Innocence","纯真博物馆","TR","土耳其","伊斯坦布尔省","伊斯坦布尔","贝伊奥卢区","Çukurcuma Caddesi No. 2；Beyoğlu；Istanbul Türkiye","","","在作品中的重要地位：纯真博物馆把小说中的情感记忆延伸到现实，是作品文本、物件与城市漫游相互印证的核心地点。
主要出现的情节：小说主人公凯末尔收集与芙颂有关的日常物品，借此保存爱情记忆；博物馆以这些叙事线索组织展柜。
现实地标介绍：博物馆位于伊斯坦布尔丘库尔久马街区，由作者帕慕克推动建立，可将小说与馆内陈列对照阅读。","","作品衍生地标","https://www.masumiyetmuzesi.org/en/m%C3%BCze","纯真博物馆","The Museum of Innocence","official","2026-08-10T12:00:00+08:00","","work_association"
"game","黑神话：悟空","Black Myth: Wukong","小西天","CN","中国","山西省","临汾市","隰县","山西省临汾市隰县城西凤凰山小西天","","","在作品中的重要地位：小西天的悬塑和殿宇形制是《黑神话：悟空》古建美术取材的重要参照之一。
主要出现的情节：玩家在以佛教建筑和壁塑氛围重构的章节场景中探索、战斗，观察其层叠空间与宗教造像式视觉语言。
现实地标介绍：小西天位于山西隰县凤凰山，以明代悬塑艺术闻名，参观时应遵守古建和文物保护规定。","","数字复原原型","https://wjw.shanxi.gov.cn/xwzx/szyw/202408/t20240826_9640297.shtml","山西省卫生健康委员会","山西古建在《黑神话：悟空》中高度还原","official","2026-08-10T12:00:00+08:00","","digital_reconstruction"
"game","黑神话：悟空","Black Myth: Wukong","应县木塔","CN","中国","山西省","朔州市","应县","山西省朔州市应县佛宫寺内应县木塔","","","在作品中的重要地位：应县木塔是游戏山西古建取材中辨识度极高的原型之一，为建筑尺度和木构细节提供了现实参照。
主要出现的情节：玩家可在游戏中的高耸木构式建筑及周边空间探索、登临和战斗，并感受多层结构营造的视觉压迫感。
现实地标介绍：应县木塔位于山西应县佛宫寺内，建于辽代，是现存著名木塔，游览须遵守遗产保护安排。","","数字复原原型","https://wjw.shanxi.gov.cn/xwzx/szyw/202408/t20240826_9640297.shtml","山西省卫生健康委员会","山西古建在《黑神话：悟空》中高度还原","official","2026-08-10T12:00:00+08:00","","digital_reconstruction"
"game","黑神话：悟空","Black Myth: Wukong","佛光寺","CN","中国","山西省","忻州市","五台县","山西省忻州市五台县豆村镇佛光寺","","","在作品中的重要地位：佛光寺的唐代建筑遗存是游戏取景考察的现实参照，体现了团队对山西古建形制的借鉴。
主要出现的情节：玩家在游戏中经过以寺院、台地和古建为灵感的场景，建筑细部服务于探索路径与氛围塑造。
现实地标介绍：佛光寺位于山西五台县豆村镇，东大殿保存唐代木构，属于需重点保护的古建筑遗产。","","数字复原原型","https://wjw.shanxi.gov.cn/xwzx/szyw/202408/t20240826_9640297.shtml","山西省卫生健康委员会","山西古建在《黑神话：悟空》中高度还原","official","2026-08-10T12:00:00+08:00","","digital_reconstruction"
"game","燕云十六声","Where Winds Meet","开封府","CN","中国","河南省","开封市","鼓楼区","河南省开封市鼓楼区包公湖南路开封府","","","在作品中的重要地位：开封历史文化空间是《燕云十六声》营造五代十国至宋初城市想象的重要参考，开封府是其中的典型地标。
主要出现的情节：玩家在以开封城为灵感的区域接触市井、官署与江湖叙事，进行调查、交涉和探索等任务活动。
现实地标介绍：开封府景区位于开封包公湖畔，为以北宋府衙文化为主题的展示空间，适合作为游戏城市考据的实地参照。","","数字复原原型","https://www.news.cn/digital/20260415/04210890114e4988bf6b9ca94adc2a9a/c.html","新华网","游戏数字技术复刻开封地标","reputable_media","2026-08-10T12:00:00+08:00","","digital_reconstruction"
"game","刺客信条 II","Assassin's Creed II","佛罗伦萨圣母百花大教堂","IT","意大利","托斯卡纳大区","佛罗伦萨","历史中心","Piazza del Duomo；50122 Firenze FI Italy","","","在作品中的重要地位：圣母百花大教堂是《刺客信条 II》佛罗伦萨城市天际线的关键识别点，强化了文艺复兴意大利的空间体验。
主要出现的情节：艾吉奥在佛罗伦萨的屋顶、广场和教堂周边行动，玩家以攀爬和跑酷方式穿行于高度复原的城市景观。
现实地标介绍：教堂位于佛罗伦萨主教座堂广场，以穹顶和立面闻名，是文艺复兴建筑与城市景观的重要组成。","","数字复原原型","https://www.ubisoft.com/en-us/games/assassins-creed-ii","Ubisoft","Assassin's Creed II","official","2026-08-10T12:00:00+08:00","","game_setting"
"game","刺客信条 II","Assassin's Creed II","威尼斯圣马可广场","IT","意大利","威尼托大区","威尼斯","圣马可区","Piazza San Marco；30124 Venezia VE Italy","","","在作品中的重要地位：圣马可广场是《刺客信条 II》威尼斯章节最具辨识度的公共空间之一，帮助玩家建立运河城市的方位感。
主要出现的情节：艾吉奥在威尼斯展开潜入、追踪和屋顶移动，广场与周边水道构成任务往返和城市探索的重要区域。
现实地标介绍：圣马可广场位于威尼斯历史中心，毗邻圣马可大教堂和总督宫，是城市最著名的公共广场。","","数字复原原型","https://www.ubisoft.com/en-us/games/assassins-creed-ii","Ubisoft","Assassin's Creed II","official","2026-08-10T12:00:00+08:00","","game_setting"
"game","刺客信条：大革命","Assassin's Creed Unity","巴黎圣母院","FR","法国","法兰西岛大区","巴黎","第四区","6 Parvis Notre-Dame - Place Jean-Paul II；75004 Paris France","","","在作品中的重要地位：巴黎圣母院是《刺客信条：大革命》革命时期巴黎的视觉核心之一，也体现了游戏的数字复原能力。
主要出现的情节：阿诺在革命动荡中的巴黎执行追查与潜入任务，教堂及其周边成为城市漫游、攀爬和关键行动的标志空间。
现实地标介绍：巴黎圣母院位于西岱岛，游戏中的建筑与历史情节均为艺术化创作，现实参观须以官方安排为准。","","数字复原原型","https://news.ubisoft.com/en-us/article/2Hh4JLkJ1GJIMEg0lk3Lfy/supporting-notredame-de-paris","Ubisoft","Supporting Notre-Dame de Paris","official","2026-08-10T12:00:00+08:00","","digital_reconstruction"
"game","看门狗 2","Watch Dogs 2","金门大桥","US","美国","加利福尼亚州","旧金山","旧金山湾区","Golden Gate Bridge；San Francisco CA 94129 USA","","","在作品中的重要地位：金门大桥是《看门狗 2》旧金山湾区开放世界最醒目的现实地理参照，帮助玩家辨认城市边界与海湾方向。
主要出现的情节：主角马可仕在旧金山湾区完成黑客行动和驾车、步行探索，玩家可将大桥作为穿越海湾景观的视觉坐标。
现实地标介绍：金门大桥连接旧金山半岛与马林县，以橙红色悬索桥形象闻名，是湾区代表性工程地标。","","游戏场景原型","https://www.ubisoft.com/en-us/game/watch-dogs/watch-dogs-2","Ubisoft","Watch Dogs 2","official","2026-08-10T12:00:00+08:00","","game_setting"
"game","王国降临：救赎","Kingdom Come: Deliverance","萨扎瓦修道院","CZ","捷克","中波希米亚州","萨扎瓦","萨扎瓦","Klášter Sázava；285 06 Sázava Czechia","","","在作品中的重要地位：萨扎瓦修道院是《王国降临：救赎》中重要任务地点，为游戏的中世纪波希米亚现实感提供了历史空间参照。
主要出现的情节：亨利在修道院相关任务中调查线索、接触修士生活，并体验严格作息和身份伪装带来的叙事压力。
现实地标介绍：萨扎瓦修道院位于捷克中波希米亚地区，遗址保留中世纪修道院建筑与宗教艺术遗存。","","现实历史地点","https://www.sccr.cz/wp-content/uploads/2023/01/Kingdom-Come-EN.pdf","中波希米亚地区旅游机构","Kingdom Come: Deliverance location guide","official","2026-08-10T12:00:00+08:00","","game_setting"
"screen","重庆森林","Chungking Express","重庆大厦","HK","中国香港","香港特别行政区","香港","油尖旺区","香港九龙尖沙咀弥敦道36-44号重庆大厦","","","在作品中的重要地位：重庆大厦是《重庆森林》呈现香港都市流动性、陌生人相遇与多族群商业氛围的重要现实拍摄空间。
主要出现的情节：影片围绕两位警察的失恋与偶遇展开，重庆大厦周边的快餐店、走廊和街道构成追逐、相遇与都市漫游的背景。
现实地标介绍：重庆大厦位于香港尖沙咀弥敦道，是集旅馆、商铺与跨境贸易于一体的高密度商业建筑。","","拍摄地","https://www.duoshouma.com/archives/27901","旅游之家","香港旅游电影取景地","secondary","2026-08-10T12:00:00+08:00","","filming_location"
"screen","让子弹飞","Let the Bullets Fly","赤坎古镇","CN","中国","广东省","江门市","开平市","广东省江门市开平市赤坎镇","","","在作品中的重要地位：赤坎古镇的骑楼街与侨乡建筑为《让子弹飞》的民国式县城提供了鲜明的视觉载体。
主要出现的情节：张麻子一行进入鹅城后与黄四郎周旋，街市、府邸和群众场面借助古镇建筑形成权力对峙的舞台。
现实地标介绍：赤坎古镇位于广东开平，以骑楼、侨乡文化和近代街区风貌著称，是影视取景与建筑游览地点。","","拍摄地","https://www.kaiping.gov.cn/jmkpsckz/gkmlpt/content/3/3132/post_3132209.html","开平市赤坎镇人民政府","赤坎华侨古镇影视取景介绍","official","2026-08-10T12:00:00+08:00","","filming_location"
"screen","悲情城市","A City of Sadness","九份老街","TW","中国台湾","新北市","新北市","瑞芳区","中国台湾新北市瑞芳区九份基山街","","","在作品中的重要地位：九份山城的街道、坡地与旧矿业聚落景观为《悲情城市》的历史氛围提供了重要拍摄空间。
主要出现的情节：影片以一家人的经历映照战后台湾社会变迁，山城巷道和住宅场景强化了人物在时代夹缝中的生活感。
现实地标介绍：九份老街位于新北市瑞芳山区，保留山城阶梯街道、旧矿业聚落与海山眺望景观。","","拍摄地","https://www.filmassist.ntpc.gov.tw/classic-tour","新北协拍中心","经典游程","official","2026-08-10T12:00:00+08:00","","filming_location"
"screen","繁花","电视剧《繁花》","黄河路","CN","中国","上海市","上海市","黄浦区","上海市黄浦区黄河路","","","在作品中的重要地位：黄河路是电视剧《繁花》塑造上海九十年代餐饮与商业社交的代表性城市空间。
主要出现的情节：阿宝等人物围绕饭店生意、人情往来和商业谈判不断出入黄河路，街区成为人物关系变化的见证。
现实地标介绍：黄河路位于上海黄浦区，现实中以餐饮街区闻名，电视剧带动了围绕旧上海城市记忆的打卡关注。","","拍摄地与剧情场景","https://whlyj.sh.gov.cn/cysc/20240115/c827c9098145466c91e76b5a198117a8.html","上海市文化和旅游局","《繁花》带动上海文旅打卡热","official","2026-08-10T12:00:00+08:00","","filming_location"
"screen","觉醒年代","电视剧《觉醒年代》","北京大学红楼","CN","中国","北京市","北京市","东城区","北京市东城区五四大街29号北京大学红楼","","","在作品中的重要地位：北京大学红楼是《觉醒年代》串联新文化运动和五四运动历史线的重要现实场所。
主要出现的情节：剧中陈独秀、李大钊等人物围绕办刊、教学、思想讨论与学生运动展开活动，红楼承载了多条历史叙事线。
现实地标介绍：北京大学红楼位于北京东城五四大街，是新文化运动和五四运动的重要旧址，现为相关历史展陈地。","","剧情历史场景","https://www.visitbeijing.com.cn/article/4FHeCXXhh5H","北京市文化和旅游局","跟着《觉醒年代》重走红色线路","official","2026-08-10T12:00:00+08:00","","work_association"
"screen","我的阿勒泰","电视剧《我的阿勒泰》","禾木村","CN","中国","新疆维吾尔自治区","阿勒泰地区","布尔津县","新疆维吾尔自治区阿勒泰地区布尔津县喀纳斯景区禾木村","","","在作品中的重要地位：禾木村是《我的阿勒泰》呈现阿勒泰牧区生活、自然尺度与人物成长的重要取景地。
主要出现的情节：剧中人物在村落、草场与山地之间生活、劳作和相处，季节景观与家庭关系共同推动情感线发展。
现实地标介绍：禾木村位于新疆阿勒泰地区布尔津县喀纳斯景区，以木屋村落、河谷和山地草原景观闻名。","","拍摄地","https://news.cctv.com/2024/05/20/ARTIQ5FfOtRCBQcAZXv5GfX8240520.shtml","央视网","《我的阿勒泰》取景带动文旅","reputable_media","2026-08-10T12:00:00+08:00","","filming_location"
"screen","罗马假日","Roman Holiday","真理之口","IT","意大利","拉齐奥大区","罗马","罗马历史中心","Piazza della Bocca della Verità 18；00186 Roma RM Italy","","","在作品中的重要地位：真理之口是《罗马假日》最具传播力的罗马拍摄地标之一，成为影片轻松浪漫气质的视觉记忆。
主要出现的情节：乔故意把手伸入石刻口中假装受伤，逗弄安妮公主，这一即兴式互动成为两人关系升温的名场面。
现实地标介绍：真理之口位于罗马圣母堂门廊，为古代石刻圆盘，现是罗马历史中心常见的电影取景打卡点。","","拍摄地","https://www.turismoroma.it/en/places/mouth-truth","罗马市旅游局","The Mouth of Truth","official","2026-08-10T12:00:00+08:00","","filming_location"
"screen","音乐之声","The Sound of Music","米拉贝尔花园","AT","奥地利","萨尔茨堡州","萨尔茨堡","新城区","Mirabellplatz 4；5020 Salzburg Austria","","","在作品中的重要地位：米拉贝尔花园是《音乐之声》把萨尔茨堡城市景观与家庭音乐氛围结合起来的经典取景地。
主要出现的情节：玛丽亚带着孩子们演唱《Do-Re-Mi》并穿行于花园台阶、雕塑和拱廊，形成影片最知名的歌舞段落之一。
现实地标介绍：米拉贝尔花园位于萨尔茨堡新城，毗邻米拉贝尔宫，以巴洛克式园林、雕塑和眺望老城的视角著称。","","拍摄地","https://www.salzburg.info/en/salzburg/the-sound-of-music/shooting-locations","萨尔茨堡旅游局","The Sound of Music shooting locations","official","2026-08-10T12:00:00+08:00","","filming_location"
"screen","爱在日落黄昏时","Before Sunset","莎士比亚书店","FR","法国","法兰西岛大区","巴黎","第五区","37 Rue de la Bûcherie；75005 Paris France","","","在作品中的重要地位：莎士比亚书店是《爱在日落黄昏时》重启杰西与塞琳对话的开场地点，奠定全片步行交谈的叙事节奏。
主要出现的情节：杰西在书店为新书朗读并与塞琳重逢，两人随后离开书店，沿巴黎街区不断交谈、回忆和试探。
现实地标介绍：莎士比亚书店位于巴黎左岸塞纳河畔，是英语书店和文学活动场所，与巴黎文学旅行密切相关。","","拍摄地","https://www.filmfrance.net/en/once-upon-a-time/before-sunset-2/","法国国家电影中心 Film France","Before Sunset","official","2026-08-10T12:00:00+08:00","","filming_location"
"screen","唐顿庄园","Downton Abbey","海克利尔城堡","GB","英国","英格兰","纽伯里","海克利尔","Highclere Park；Highclere；Newbury RG20 9RN United Kingdom","","","在作品中的重要地位：海克利尔城堡是《唐顿庄园》中庄园主体的现实承载地，使虚构的克劳利家族宅邸具有可辨认的建筑形象。
主要出现的情节：家族宴会、继承议题、仆人工作与重大来访等室内外场面围绕庄园展开，建筑空间区分了不同阶层的日常。
现实地标介绍：海克利尔城堡位于英国汉普郡，是19世纪改建的乡村庄园，官方以《唐顿庄园》取景关联提供参观信息。","","拍摄地","https://www.highclerecastle.co.uk/downton-abbey","Highclere Castle","Highclere Castle and Downton Abbey","first_party","2026-08-10T12:00:00+08:00","","filming_location"
"screen","白莲花度假村","The White Lotus 第二季","圣多梅尼科宫四季酒店","IT","意大利","西西里大区","陶尔米纳","陶尔米纳历史中心","Via San Domenico 5；98039 Taormina ME Italy","","","在作品中的重要地位：圣多梅尼科宫四季酒店是《白莲花度假村》第二季的核心拍摄场地，酒店本身几乎构成整季人物关系的封闭舞台。
主要出现的情节：度假客与酒店员工围绕婚姻、财富、欲望和阶层展开冲突，庭院、餐厅、客房与海景露台反复出现。
现实地标介绍：酒店位于西西里陶尔米纳，建筑由历史修道院改建，拥有面向爱奥尼亚海的景观。","","拍摄地","https://www.fourseasons.com/magazine/discover/set-jetting-with-four-seasons-white-lotus/","Four Seasons","Set-Jetting With Four Seasons","first_party","2026-08-10T12:00:00+08:00","","filming_location"
"screen","浴血黑帮","Peaky Blinders","黑乡生活博物馆","GB","英国","英格兰","达德利","西米德兰兹","Tipton Road；Dudley DY1 4SQ United Kingdom","","","在作品中的重要地位：黑乡生活博物馆为《浴血黑帮》重现工业时代伯明翰及周边工人社区提供了重要外景空间。
主要出现的情节：剧中帮派人物在运河、街屋和工厂式环境中活动，追逐、交易和家庭场面借助博物馆街区完成拍摄。
现实地标介绍：博物馆位于英国达德利，以露天历史街区方式展示黑乡地区的工业与居民生活遗产。","","拍摄地","https://bclm.com/plan-your-visit/peaky-blinders/","Black Country Living Museum","Peaky Blinders Experience","first_party","2026-08-10T12:00:00+08:00","","filming_location"
"screen","布里奇顿","Bridgerton","皇家新月楼","GB","英国","英格兰","巴斯","巴斯历史中心","1 Royal Crescent；Bath BA1 2LR United Kingdom","","","在作品中的重要地位：皇家新月楼及巴斯历史街区为《布里奇顿》营造摄政时期伦敦的华丽街景，是剧集常用外景参照。
主要出现的情节：人物出入宅邸、参加社交活动和乘车经过街区时，巴斯的乔治亚式建筑被转换为剧中的伦敦空间。
现实地标介绍：皇家新月楼位于英国巴斯，是连续弧形乔治亚式联排住宅群，也是该城代表性建筑景观。","","拍摄地","https://www.visitbath.co.uk/blog/read/2026/01/bridgerton-filming-locations-in-bath-b86","Visit Bath","Bridgerton filming locations in Bath","official","2026-08-10T12:00:00+08:00","","filming_location"
"screen","情书","Love Letter","小樽运河","JP","日本","北海道","小樽市","","日本北海道小樽市港町小樽运河","43.2003","141.0076","在作品中的重要地位：小樽运河是电影《情书》中最具代表性的场景之一，承载了女主角对初恋的追忆，也是影片寻找同名之人这一叙事线索的重要空间起点。
主要出现的情节：女主角博子与秋叶前往小樽寻找同名同姓的藤井树，多次在小樽运河沿岸的街道与仓库间穿行，运河的雪景与黄昏成为影片的标志性画面。
现实地标介绍：小樽运河位于日本北海道小樽市港町，是明治至大正时期修建的货运运河，如今沿河的石造仓库被改造为餐厅、商店和博物馆，是北海道著名的观光地。","从JR小樽站步行约10分钟可到运河沿岸","作品场景","https://zh.wikipedia.org/wiki/小樽运河","小樽市","小樽运河（维基百科）","official","2026-08-18T12:00:00+08:00","","work_association"
